Income,Customer Lifetime Value,Months_In_Program,Months_Since_Enrollment,TotalFlights,TotalFlightsWithCompanions,TotalPoints,TotalPointsRedeemed,NumFlights_Max,NumFlightsWithCompanions_Max,Ratio_Flights_Companions,Ratio_Points_Redeemed,MeanDistancePerFlight,PropNrFlights,PropNrFlightsWithCompanions,PropCLV,PropPoints,PropPointsRedem,DiversitySeason,Recency_Months,cluster_labels
82877.0,7919.2,35,35,231,49.4,53014.3,20562.8,17,7.0,0.21385281385281385,0.3878727060434637,2295.3679653679656,6.6,1.4114285714285715,226.26285714285714,1514.6942857142858,587.5085714285714,4.0,0.0,0
0.0,2887.74,35,69,248,58.2,33903.96,18760.6,15,8.0,0.2346774193548387,0.5533453909218864,1367.3975806451613,7.085714285714285,1.662857142857143,82.50685714285714,968.6845714285714,536.0171428571429,4.0,0.0,0
0.0,2838.07,35,35,217,54.2,43192.58,4896.0,15,8.0,0.24976958525345624,0.11335280272676464,1990.9253456221197,6.2,1.5485714285714287,81.08771428571428,1234.0737142857142,139.88571428571427,4.0,1.0,0
42837.0,4170.57,35,40,112,19.7,36453.77,12908.6,13,7.0,0.17589285714285713,0.35410877942116825,3255.3723214285715,3.2,0.5628571428571428,119.15914285714285,1041.5362857142857,368.81714285714287,4.0,0.0,0
80979.0,6622.05,35,59,187,53.1,42953.25,10891.4,16,9.0,0.2839572192513369,0.25356404928614246,2297.4893048128342,5.3428571428571425,1.5171428571428571,189.20142857142858,1227.2357142857143,311.18285714285713,4.0,1.0,0
52499.0,35227.3,35,63,238,69.4,45605.63,11013.0,20,9.0,0.2915966386554622,0.2414833431749545,1916.5642857142857,6.8,1.982857142857143,1381.6274285714285,1303.018,314.65714285714284,4.0,0.0,0
61417.0,5143.88,35,43,175,44.2,34332.25,8707.7,15,8.0,0.2525714285714286,0.25363033299594406,1962.1914285714286,5.0,1.262857142857143,146.968,980.9214285714286,248.79142857142858,4.0,0.0,0
51641.0,2465.62,35,74,171,63.7,36723.94,17829.6,14,6.0,0.37251461988304096,0.4855034617745263,2147.990643274854,4.885714285714286,1.82,70.44628571428571,1049.2554285714286,509.41714285714284,4.0,0.0,0
43145.0,5845.43,35,76,159,29.2,34224.82,19927.1,14,5.0,0.18364779874213835,0.5822411922107991,1970.6427672955977,4.542857142857143,0.8342857142857143,167.01228571428572,977.852,569.3457142857143,4.0,0.0,0
30374.0,7861.8,35,70,215,50.5,40732.97,12189.5,16,10.0,0.23488372093023255,0.29925389678189435,1894.933488372093,6.142857142857143,1.4428571428571428,224.62285714285716,1163.799142857143,348.27142857142854,4.0,2.0,0
87957.0,7334.33,35,61,207,42.2,41549.82,26735.5,16,9.0,0.20386473429951693,0.6434564578137764,2007.5903381642513,5.914285714285715,1.2057142857142857,209.55228571428572,1187.1377142857143,763.8714285714286,4.0,0.0,0
51840.0,34090.04,9,9,28,3.0,8566.0,4147.0,10,2.0,0.10714285714285714,0.4841232780761149,3060.5,3.111111111111111,0.3333333333333333,3787.782222222222,951.7777777777778,460.77777777777777,3.0,1.0,2
27005.0,4892.63,35,79,188,33.4,39458.659999999996,7712.1,14,7.0,0.17765957446808509,0.19544758995870617,2099.1893617021274,5.371428571428571,0.9542857142857143,139.78942857142857,1127.3902857142857,220.3457142857143,4.0,1.0,0
17622.0,4458.11,35,41,155,49.0,27687.5,25301.4,20,9.0,0.3161290322580645,0.9138203160270881,1786.6451612903227,4.428571428571429,1.4,127.37457142857141,791.0714285714286,722.8971428571429,4.0,0.0,0
95697.0,2471.53,35,38,142,35.0,27950.98,4583.0,18,6.0,0.24647887323943662,0.16396562839657142,1641.0795774647886,4.057142857142857,1.0,70.61514285714286,798.5994285714286,130.94285714285715,4.0,1.0,0
28142.0,3873.65,35,57,224,46.8,46684.77,15212.8,19,9.0,0.2089285714285714,0.3258621601862877,1895.4058035714286,6.4,1.337142857142857,110.67571428571429,1333.8505714285714,434.65142857142854,4.0,0.0,0
0.0,12786.67,31,31,210,59.2,37386.63,23519.0,17,8.0,0.28190476190476194,0.6290751533369014,1780.625238095238,6.774193548387097,1.9096774193548387,412.47322580645164,1206.0203225806451,758.6774193548387,4.0,1.0,0
21606.0,2534.31,35,38,280,76.2,52798.909999999996,8093.9,19,10.0,0.26275862068965516,0.15329672525436605,1820.9072413793103,8.285714285714286,2.177142857142857,72.40885714285714,1508.5402857142856,231.25428571428571,4.0,3.0,0
18577.0,6273.91,35,69,146,24.6,37343.56,0.0,12,4.0,0.1684931506849315,0.0,2558.250684931507,4.171428571428572,0.7028571428571428,179.25457142857144,1066.9588571428571,0.0,4.0,0.0,0
0.0,10153.89,35,35,199,50.5,33304.96,9061.1,19,6.0,0.2537688442211055,0.27206458137166356,1525.4110552763818,5.685714285714286,1.4428571428571428,290.11114285714285,951.5702857142857,258.8885714285714,4.0,1.0,0
0.0,3561.04,35,66,157,14.7,22999.14,0.0,18,4.0,0.09363057324840764,0.0,1465.2955414012738,4.485714285714286,0.42,101.744,657.1182857142857,0.0,4.0,0.0,0
0.0,8007.4,35,52,138,41.7,25234.48,15448.8,13,5.0,0.3021739130434783,0.6122099603399792,1829.1289855072464,3.942857142857143,1.1914285714285715,228.78285714285713,720.9851428571428,441.3942857142857,4.0,0.0,0
33640.0,4392.98,35,56,207,60.7,46440.11,9788.0,17,9.0,0.2932367149758454,0.210766081303425,2243.8942028985507,5.914285714285715,1.7342857142857144,125.51371428571427,1326.8602857142857,279.65714285714284,4.0,1.0,0
12964.0,4770.55,35,73,173,29.8,29586.21,8168.8,15,5.0,0.1722543352601156,0.2761016027399251,1579.8271676300576,4.942857142857143,0.8514285714285714,136.30142857142857,845.3202857142857,233.39428571428573,4.0,0.0,0
37449.0,12898.59,35,35,154,34.9,28356.32,19783.3,15,4.0,0.22662337662337662,0.6976681036185232,1841.7415584415585,4.4,0.9971428571428571,368.53114285714287,810.1805714285714,565.2371428571429,4.0,0.0,0
81872.0,14024.36,35,72,278,58.6,48403.1,34861.50999999997,20,6.0,0.21079136690647482,0.7949656117066883,1677.428057553957,7.942857142857143,1.6742857142857144,400.696,1382.9457142857143,1099.3942857142858,4.0,0.0,0
50296.0,7737.27,35,59,163,43.4,44554.36,26917.7,16,8.0,0.26625766871165646,0.6041541164545962,2733.838036809816,4.6571428571428575,1.24,221.06485714285716,1272.9817142857144,769.0771428571429,4.0,1.0,0
50719.0,2688.88,30,30,142,29.3,29487.96,7444.0,19,8.0,0.2063380281690141,0.2524420136218308,2077.138028169014,4.733333333333333,0.9766666666666667,89.62933333333334,982.932,248.13333333333333,4.0,0.0,0
33651.0,24249.34,35,56,184,43.1,34293.409999999996,14158.0,18,6.0,0.23423913043478262,0.4128489992683726,1864.1092391304346,5.257142857142857,1.2314285714285715,692.8382857142857,979.8117142857142,404.51428571428573,4.0,0.0,0
0.0,5619.69,14,14,58,11.0,12215.0,4735.0,18,3.0,0.1896551724137931,0.38763814981580025,2106.3793103448274,4.142857142857143,0.7857142857142857,401.40642857142853,872.5,338.2142857142857,4.0,1.0,4
76357.0,4595.46,35,74,175,22.7,32924.11,13061.4,20,7.0,0.1297142857142857,0.39671231811581237,1881.8005714285714,5.0,0.6485714285714286,131.29885714285714,940.6888571428572,373.18285714285713,4.0,1.0,0
25237.0,5205.75,35,40,207,50.5,42150.78,13099.0,17,9.0,0.24396135265700483,0.31076530493623133,2036.6608695652174,5.914285714285715,1.4428571428571428,148.7357142857143,1204.308,374.25714285714287,4.0,0.0,0
19683.0,8382.63,2,2,8,0.0,2083.0,0.0,6,0.0,0.0,0.0,3471.8333333333335,6.0,0.0,4437.67999999997,1887.0633333333317,0.0,1.0,0.0,2
86148.0,5129.74,34,34,211,58.6,44072.35,14656.6,16,9.0,0.2777251184834123,0.33255771475766555,2089.0781990521327,6.205882352941177,1.723529411764706,150.87470588235294,1296.245588235294,431.0764705882353,4.0,0.0,0
76184.0,9002.41,35,65,138,32.9,37758.53,0.0,17,5.0,0.23840579710144927,0.0,2736.5166666666664,3.942857142857143,0.94,257.21171428571427,1078.8151428571427,0.0,4.0,0.0,0
52423.0,13916.93,3,3,8,6.0,1474.02,0.0,6,5.0,0.5918367346938775,0.0,2110.0,2.0,2.0,4437.67999999997,421.6666666666667,0.0,2.0,0.0,2
68297.0,24543.2,35,70,155,29.2,35706.44,0.0,18,8.0,0.18838709677419355,0.0,1966.6193548387096,4.428571428571429,0.8342857142857143,701.2342857142858,1020.1840000000001,0.0,4.0,0.0,0
74057.0,4202.66,35,61,193,21.7,37235.98,10085.0,16,6.0,0.11243523316062176,0.27084019273831383,1929.739896373057,5.514285714285714,0.62,120.076,1063.885142857143,288.14285714285717,4.0,0.0,0
59253.0,7166.34,11,11,83,17.0,14564.0,0.0,19,5.0,0.20481927710843373,0.0,1755.0361445783133,7.545454545454546,1.5454545454545454,651.4854545454546,1324.0,0.0,4.0,0.0,3
61469.0,4923.18,34,34,240,72.5,49981.84,0.0,21,9.0,0.3020833333333333,0.0,1840.5,7.0588235294117645,2.1323529411764706,144.7994117647059,1470.0541176470588,0.0,4.0,0.0,0
74487.0,6960.92,35,79,131,21.0,29020.8,0.0,16,3.0,0.16030534351145037,0.0,2215.587786259542,3.742857142857143,0.6,198.88342857142857,829.1657142857142,0.0,4.0,3.0,0
0.0,2230.5640000000003,35,41,222,67.5,29220.57,0.0,19,10.0,0.30405405405405406,0.0,1316.5301801801802,6.3428571428571425,1.9285714285714286,65.32851764705883,834.8734285714286,0.0,4.0,1.0,0
60920.0,7507.46,35,35,246,32.9,52852.08,11157.0,18,8.0,0.13373983739837397,0.2110985982008655,2148.747154471545,7.0285714285714285,0.94,214.49885714285713,1510.0594285714287,318.77142857142854,4.0,2.0,0
